FechaPrediccion(UTC)	Hora	Vel78m(m/s)	Dir_78m
2015/01/25 23:00 6.7322493 125.587234
2015/01/26 00:00 3.0245564 92.15898
2015/01/26 01:00 1.3237252 88.20856
2015/01/26 02:00 1.1325231 298.66467
2015/01/26 03:00 2.2976956 298.82626
2015/01/26 04:00 3.4146168 298.86798
2015/01/26 05:00 4.3029613 297.94022
2015/01/26 06:00 4.811148 299.87094
2015/01/26 07:00 5.0439262 301.84677
2015/01/26 08:00 4.948033 304.98636
2015/01/26 09:00 4.8015404 308.2016
2015/01/26 10:00 4.5770516 313.22363
2015/01/26 11:00 4.449004 320.90137
2015/01/26 12:00 4.140998 320.65512
2015/01/26 13:00 3.6863532 320.41174
2015/01/26 14:00 3.4865518 321.00568
2015/01/26 15:00 3.7798986 322.99368
2015/01/26 16:00 4.205774 325.5641
2015/01/26 17:00 4.4701476 327.98294
2015/01/26 18:00 4.4322886 332.04825
2015/01/26 19:00 4.3142695 337.90482
2015/01/26 20:00 4.2369976 343.4741
2015/01/26 21:00 3.9052525 348.4006
2015/01/26 22:00 3.5172725 352.33414
2015/01/26 23:00 3.3285751 353.20328
2015/01/27 00:00 4.8105283 336.51135
2015/01/27 01:00 4.1258626 334.29544
2015/01/27 02:00 3.7089489 331.14224
2015/01/27 03:00 3.534692 333.15765
2015/01/27 04:00 3.1640193 341.25946
2015/01/27 05:00 2.7040968 355.34708
2015/01/27 06:00 2.126024 16.362877
2015/01/27 07:00 1.7401419 35.424442
2015/01/27 08:00 1.5253367 59.168575
2015/01/27 09:00 1.249474 73.26502
2015/01/27 10:00 1.0284197 82.37824
2015/01/27 11:00 1.1589557 83.08412
2015/01/27 12:00 1.5984666 84.392235
2015/01/27 13:00 2.1840658 87.485954
2015/01/27 14:00 2.6748564 84.823425
2015/01/27 15:00 3.0227401 81.76745
2015/01/27 16:00 3.4314334 74.73429
2015/01/27 17:00 3.833933 66.86012
2015/01/27 18:00 4.2116113 67.4909
2015/01/27 19:00 4.343527 71.265045
2015/01/27 20:00 4.2661595 68.95506
2015/01/27 21:00 4.2053747 60.27177
2015/01/27 22:00 4.2696724 46.03094
2015/01/27 23:00 4.710931 34.647263
2015/01/28 00:00 6.3553295 11.212621
2015/01/28 01:00 6.6141796 4.671117
2015/01/28 02:00 7.026917 358.4114
2015/01/28 03:00 7.2725353 355.70767
2015/01/28 04:00 7.384404 353.84027
2015/01/28 05:00 7.492963 354.23676
2015/01/28 06:00 7.4333534 353.96683
2015/01/28 07:00 7.21694 350.32693
2015/01/28 08:00 6.752182 346.4164
2015/01/28 09:00 6.4716454 343.34933
2015/01/28 10:00 6.4229927 339.57773
2015/01/28 11:00 6.63451 335.72418
2015/01/28 12:00 6.9441085 335.3948
2015/01/28 13:00 6.910926 335.311
2015/01/28 14:00 6.813051 333.4405
2015/01/28 15:00 6.9042225 330.40427
2015/01/28 16:00 7.0283694 327.3123
2015/01/28 17:00 6.986835 325.16806
2015/01/28 18:00 6.685437 324.72177
2015/01/28 19:00 6.439327 324.4396
2015/01/28 20:00 6.0539165 323.73068
